subject_entity_id,relation_id,object_entity_id,temporal_id
114,9,16711,0
115,9,16712,0
116,9,16713,0
117,9,16714,0
19,49,16715,0
118,8,2542,0
119,50,414,0
56,33,924,0
57,20,2877,0
56,28,104,0
104,1,57,0
56,51,8900,0
56,3,16716,0
57,33,159,0
57,20,16717,0
56,9,104,0
56,28,16718,0
120,12,126,0
121,11,16719,0
121,0,71,0
122,12,123,0
123,16,16720,0
123,16,16721,0
123,16,16722,0
124,12,125,0
125,16,16723,0
125,16,16721,0
125,1,414,0
126,16,16724,0
126,16,16721,0
126,16,16725,0
126,1,414,0
125,16,16726,0
123,1,414,0
127,52,16727,0
128,0,16728,0
129,3,16729,0
127,52,16730,0
130,0,16731,0
127,53,16732,0
131,14,16733,0
132,54,134,0
133,55,131,0
133,55,135,0
133,0,16734,0
134,56,16735,0
135,14,16733,0
134,56,16736,0
136,57,16737,0
137,1,136,0
138,58,139,0
139,42,16738,0
134,56,16739,0
140,9,16740,0
140,8,16741,0
140,9,16742,0
140,0,16743,0
19,0,16744,0
19,31,16745,0
140,0,16746,0
140,59,16747,0
140,31,16748,0
19,4,16749,0
140,60,9002,0
140,1,16750,0
141,9,16751,0
141,0,16752,0
141,9,16753,0
141,61,16754,0
141,9,16755,0
141,4,8242,0
141,9,16756,0
141,9,16757,0
141,3,16758,0
6,4,16759,0
141,3,16760,0
142,12,16761,0
143,12,16762,0
144,12,16763,0
145,11,770,0
71,31,770,0
146,61,277,0
147,62,5842,0
146,3,3584,0
147,63,146,0
146,9,147,0
148,2,16764,0
149,0,16765,0
150,9,154,0
151,8,150,0
152,0,1371,0
153,17,150,0
154,31,1371,0
155,4,1516,0
64,2,2763,0
64,64,414,0
64,65,249,0
156,0,414,0
64,1,277,0
157,66,159,0
158,4,16766,0
159,66,16767,0
159,67,277,0
160,2,16768,0
161,52,16769,0
159,3,16770,0
161,43,16771,0
7,68,16772,0
46,69,8,0
7,70,16773,0
7,4,225,0
7,5,277,0
7,4,16774,0
162,0,16775,0
163,36,16776,0
7,16,225,0
7,71,8,0
164,72,16777,0
164,72,16778,0
164,72,16779,0
165,21,16780,0
165,11,770,0
71,1,5206,0
166,73,465,0
167,74,16781,0
168,75,16782,0
169,2,16783,0
170,54,16784,0
171,19,2271,0
172,14,767,0
173,0,16785,0
174,11,414,0
175,14,543,0
175,11,16786,0
175,14,10483,0
176,12,174,0
174,11,16787,0
177,12,178,0
178,11,414,0
179,12,180,0
180,11,16659,0
180,11,414,0
178,11,16788,0
181,9,16789,0
181,3,16790,0
182,0,16791,0
182,4,16792,0
183,76,184,0
184,77,16793,0
185,9,16794,0
181,4,16795,0
183,78,16796,0
19,9,1322,0
19,4,2542,0
186,1,16797,0
186,79,3078,0
6,78,414,0
186,0,1318,0
186,80,16798,0
7,21,2114,0
8,8,16799,0
8,0,16800,0
8,9,16801,0
8,3,16802,0
7,5,425,0
6,81,7,0
7,2,16803,0
7,9,16804,0
187,82,16805,0
187,16,16806,0
187,4,7522,0
187,82,16807,0
187,82,16808,0
188,83,10148,0
189,4,16809,0
28,14,433,0
190,21,16810,0
189,84,16811,0
10,4,16802,0
191,85,364,0
192,0,10,0
193,2,277,0
46,0,8,0
7,86,191,0
191,85,391,0
194,3,16812,0
191,85,388,0
191,85,383,0
191,85,195,0
195,85,6113,0
195,85,1368,0
195,85,5416,0
191,85,42,0
191,85,389,0
196,0,16813,0
197,31,16814,0
198,9,16815,0
198,27,16816,0
199,21,16817,0
200,8,16818,0
198,4,16815,0
199,42,16819,0
201,87,16820,0
6,7,16821,0
202,27,16822,0
6,88,334,0
6,88,286,0
6,7,11396,0
203,88,6,0
201,87,16823,0
204,88,6,0
205,9,1694,0
206,50,414,0
205,4,16824,0
207,4,3336,0
208,89,16825,0
209,90,277,0
210,0,205,0
211,91,16826,0
205,4,16827,0
205,2,209,0
206,56,16828,0
212,3,3047,0
213,21,16829,0
212,2,16830,0
212,4,277,0
213,1,8035,0
214,4,3047,0
212,0,1797,0
215,3,16831,0
6,0,16832,0
7,9,16833,0
216,4,16644,0
24,2,16834,0
24,4,16835,0
24,0,16836,0
217,3,16837,0
218,8,5775,0
19,49,16838,1
19,4,277,1
219,0,16839,1
220,4,16840,1
219,21,5025,1
221,0,16841,1
9,34,16842,1
222,14,16843,1
222,16,414,1
28,14,16844,1
28,92,16845,1
9,16,414,1
9,61,28,1
9,93,28,1
223,14,16846,1
9,14,16847,1
223,9,28,1
224,41,16848,1
89,41,16849,1
223,94,16850,1
89,43,16851,1
89,17,1098,1
225,9,28,1
223,95,28,1
223,51,433,1
226,96,16852,1
227,4,15429,1
227,1,16853,1
228,69,16854,1
227,16,16855,1
228,5,16856,1
229,7,230,1
230,9,16857,1
230,4,10914,1
19,3,16858,1
19,27,16859,1
230,14,16860,1
231,55,16861,1
232,1,16862,1
231,4,4,1
230,12,16863,1
233,97,16864,1
234,11,16298,1
234,25,277,1
235,98,16865,1
19,99,16866,1
236,100,16867,1
237,2,16868,1
238,101,16869,1
19,43,16870,1
239,4,16871,1
4,1,16872,1
240,4,392,1
241,0,16873,1
2,4,244,1
242,2,4026,1
243,4,16874,1
244,4,16875,1
245,4,55,1
246,8,16874,1
64,19,924,1
247,0,924,1
248,33,16876,1
249,14,9467,1
64,102,2763,1
65,103,576,1
250,0,16877,1
68,104,2950,1
251,105,16878,1
64,106,16879,1
45,4,246,1
252,74,16880,1
181,1,246,1
19,0,16881,1
253,4,246,1
254,25,16636,1
255,25,414,1
39,25,414,1
40,9,1001,1
254,16,16882,1
38,107,10263,1
35,108,5597,1
